LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     2  atom types
     3  bond types
     3  angle types
     5  dihedral types

  0.0 36.0 xlo xhi
  0.0 36.0 ylo yhi
  0.0 36.0 zlo zhi

Masses

    1 15.035 #C3 "N-Alkane CH3- (UA)" 6 partial charge=0.0
    2 14.027 #C2 "Alkanes -CH2- (UA)" 6 partial charge=0.0

Atoms # full

1 1 1 0.0 1.252 1.985 2.024
2 1 2 0.0 2.558 2.42 1.722
3 1 1 0.0 2.716 3.404 2.137
4 2 1 0.0 7.252 1.985 2.024
5 2 2 0.0 8.558 2.42 1.722
6 2 1 0.0 8.716 3.404 2.137
7 3 1 0.0 13.252 1.985 2.024
8 3 2 0.0 14.558 2.42 1.722
9 3 1 0.0 14.716 3.404 2.137
10 4 1 0.0 19.252 1.985 2.024
11 4 2 0.0 20.558 2.42 1.722
12 4 1 0.0 20.716 3.404 2.137
13 5 1 0.0 25.252 1.985 2.024
14 5 2 0.0 26.558 2.42 1.722
15 5 1 0.0 26.716 3.404 2.137
16 6 1 0.0 31.252 1.985 2.024
17 6 2 0.0 32.558 2.42 1.722
18 6 1 0.0 32.716 3.404 2.137
19 7 1 0.0 1.252 7.985 2.024
20 7 2 0.0 2.558 8.42 1.722
21 7 1 0.0 2.716 9.404 2.137
22 8 1 0.0 7.252 7.985 2.024
23 8 2 0.0 8.558 8.42 1.722
24 8 1 0.0 8.716 9.404 2.137
25 9 1 0.0 13.252 7.985 2.024
26 9 2 0.0 14.558 8.42 1.722
27 9 1 0.0 14.716 9.404 2.137
28 10 1 0.0 19.252 7.985 2.024
29 10 2 0.0 20.558 8.42 1.722
30 10 1 0.0 20.716 9.404 2.137
31 11 1 0.0 25.252 7.985 2.024
32 11 2 0.0 26.558 8.42 1.722
33 11 1 0.0 26.716 9.404 2.137
34 12 1 0.0 31.252 7.985 2.024
35 12 2 0.0 32.558 8.42 1.722
36 12 1 0.0 32.716 9.404 2.137
37 13 1 0.0 1.252 13.985 2.024
38 13 2 0.0 2.558 14.42 1.722
39 13 1 0.0 2.716 15.404 2.137
40 14 1 0.0 7.252 13.985 2.024
41 14 2 0.0 8.558 14.42 1.722
42 14 1 0.0 8.716 15.404 2.137
43 15 1 0.0 13.252 13.985 2.024
44 15 2 0.0 14.558 14.42 1.722
45 15 1 0.0 14.716 15.404 2.137
46 16 1 0.0 19.252 13.985 2.024
47 16 2 0.0 20.558 14.42 1.722
48 16 1 0.0 20.716 15.404 2.137
49 17 1 0.0 25.252 13.985 2.024
50 17 2 0.0 26.558 14.42 1.722
51 17 1 0.0 26.716 15.404 2.137
52 18 1 0.0 31.252 13.985 2.024
53 18 2 0.0 32.558 14.42 1.722
54 18 1 0.0 32.716 15.404 2.137
55 19 1 0.0 1.252 19.985 2.024
56 19 2 0.0 2.558 20.42 1.722
57 19 1 0.0 2.716 21.404 2.137
58 20 1 0.0 7.252 19.985 2.024
59 20 2 0.0 8.558 20.42 1.722
60 20 1 0.0 8.716 21.404 2.137
61 21 1 0.0 13.252 19.985 2.024
62 21 2 0.0 14.558 20.42 1.722
63 21 1 0.0 14.716 21.404 2.137
64 22 1 0.0 19.252 19.985 2.024
65 22 2 0.0 20.558 20.42 1.722
66 22 1 0.0 20.716 21.404 2.137
67 23 1 0.0 25.252 19.985 2.024
68 23 2 0.0 26.558 20.42 1.722
69 23 1 0.0 26.716 21.404 2.137
70 24 1 0.0 31.252 19.985 2.024
71 24 2 0.0 32.558 20.42 1.722
72 24 1 0.0 32.716 21.404 2.137
73 25 1 0.0 1.252 25.985 2.024
74 25 2 0.0 2.558 26.42 1.722
75 25 1 0.0 2.716 27.404 2.137
76 26 1 0.0 7.252 25.985 2.024
77 26 2 0.0 8.558 26.42 1.722
78 26 1 0.0 8.716 27.404 2.137
79 27 1 0.0 13.252 25.985 2.024
80 27 2 0.0 14.558 26.42 1.722
81 27 1 0.0 14.716 27.404 2.137
82 28 1 0.0 19.252 25.985 2.024
83 28 2 0.0 20.558 26.42 1.722
84 28 1 0.0 20.716 27.404 2.137
85 29 1 0.0 25.252 25.985 2.024
86 29 2 0.0 26.558 26.42 1.722
87 29 1 0.0 26.716 27.404 2.137
88 30 1 0.0 31.252 25.985 2.024
89 30 2 0.0 32.558 26.42 1.722
90 30 1 0.0 32.716 27.404 2.137
91 31 1 0.0 1.252 31.985 2.024
92 31 2 0.0 2.558 32.42 1.722
93 31 1 0.0 2.716 33.403999999999996 2.137
94 32 1 0.0 7.252 31.985 2.024
95 32 2 0.0 8.558 32.42 1.722
96 32 1 0.0 8.716 33.403999999999996 2.137
97 33 1 0.0 13.252 31.985 2.024
98 33 2 0.0 14.558 32.42 1.722
99 33 1 0.0 14.716 33.403999999999996 2.137
100 34 1 0.0 19.252 31.985 2.024
101 34 2 0.0 20.558 32.42 1.722
102 34 1 0.0 20.716 33.403999999999996 2.137
103 35 1 0.0 25.252 31.985 2.024
