LAMMPS Description

     648  atoms
     432  bonds
     216  angles
     0  dihedrals
     0  impropers

     3  atom types
     3  bond types
     1  angle types

  0.0 26.6 xlo xhi
  0.0 26.6 ylo yhi
  0.0 26.6 zlo zhi

Masses

    1 15.999 #OH "Alcohol OH (UA)" 8 partial charge=-0.7
    2 1.008 #HO "Alcohol OH (UA)" 1 partial charge=0.435
    3 15.035 #C3 "Methanol CH3- (UA)" 6 partial charge=0.265

Atoms # full

1 1 3 0.0 1.252 1.985 2.024
2 1 1 0.0 2.558 2.42 1.722
3 1 2 0.0 2.716 3.404 2.137
4 2 3 0.0 5.6819999999999995 1.985 2.024
5 2 1 0.0 6.9879999999999995 2.42 1.722
6 2 2 0.0 7.146 3.404 2.137
7 3 3 0.0 10.112 1.985 2.024
8 3 1 0.0 11.418 2.42 1.722
9 3 2 0.0 11.575999999999999 3.404 2.137
10 4 3 0.0 14.542 1.985 2.024
11 4 1 0.0 15.847999999999999 2.42 1.722
12 4 2 0.0 16.006 3.404 2.137
13 5 3 0.0 18.971999999999998 1.985 2.024
14 5 1 0.0 20.278 2.42 1.722
15 5 2 0.0 20.436 3.404 2.137
16 6 3 0.0 23.401999999999997 1.985 2.024
17 6 1 0.0 24.708 2.42 1.722
18 6 2 0.0 24.866 3.404 2.137
19 7 3 0.0 1.252 6.415 2.024
20 7 1 0.0 2.558 6.85 1.722
21 7 2 0.0 2.716 7.834 2.137
22 8 3 0.0 5.6819999999999995 6.415 2.024
23 8 1 0.0 6.9879999999999995 6.85 1.722
24 8 2 0.0 7.146 7.834 2.137
25 9 3 0.0 10.112 6.415 2.024
26 9 1 0.0 11.418 6.85 1.722
27 9 2 0.0 11.575999999999999 7.834 2.137
28 10 3 0.0 14.542 6.415 2.024
29 10 1 0.0 15.847999999999999 6.85 1.722
30 10 2 0.0 16.006 7.834 2.137
31 11 3 0.0 18.971999999999998 6.415 2.024
32 11 1 0.0 20.278 6.85 1.722
33 11 2 0.0 20.436 7.834 2.137
34 12 3 0.0 23.401999999999997 6.415 2.024
35 12 1 0.0 24.708 6.85 1.722
36 12 2 0.0 24.866 7.834 2.137
37 13 3 0.0 1.252 10.844999999999999 2.024
38 13 1 0.0 2.558 11.28 1.722
39 13 2 0.0 2.716 12.264 2.137
40 14 3 0.0 5.6819999999999995 10.844999999999999 2.024
41 14 1 0.0 6.9879999999999995 11.28 1.722
42 14 2 0.0 7.146 12.264 2.137
43 15 3 0.0 10.112 10.844999999999999 2.024
44 15 1 0.0 11.418 11.28 1.722
45 15 2 0.0 11.575999999999999 12.264 2.137
46 16 3 0.0 14.542 10.844999999999999 2.024
47 16 1 0.0 15.847999999999999 11.28 1.722
48 16 2 0.0 16.006 12.264 2.137
49 17 3 0.0 18.971999999999998 10.844999999999999 2.024
50 17 1 0.0 20.278 11.28 1.722
51 17 2 0.0 20.436 12.264 2.137
52 18 3 0.0 23.401999999999997 10.844999999999999 2.024
53 18 1 0.0 24.708 11.28 1.722
54 18 2 0.0 24.866 12.264 2.137
55 19 3 0.0 1.252 15.274999999999999 2.024
56 19 1 0.0 2.558 15.709999999999999 1.722
57 19 2 0.0 2.716 16.694 2.137
58 20 3 0.0 5.6819999999999995 15.274999999999999 2.024
59 20 1 0.0 6.9879999999999995 15.709999999999999 1.722
60 20 2 0.0 7.146 16.694 2.137
61 21 3 0.0 10.112 15.274999999999999 2.024
62 21 1 0.0 11.418 15.709999999999999 1.722
63 21 2 0.0 11.575999999999999 16.694 2.137
64 22 3 0.0 14.542 15.274999999999999 2.024
65 22 1 0.0 15.847999999999999 15.709999999999999 1.722
66 22 2 0.0 16.006 16.694 2.137
67 23 3 0.0 18.971999999999998 15.274999999999999 2.024
68 23 1 0.0 20.278 15.709999999999999 1.722
69 23 2 0.0 20.436 16.694 2.137
70 24 3 0.0 23.401999999999997 15.274999999999999 2.024
71 24 1 0.0 24.708 15.709999999999999 1.722
72 24 2 0.0 24.866 16.694 2.137
73 25 3 0.0 1.252 19.705 2.024
74 25 1 0.0 2.558 20.14 1.722
75 25 2 0.0 2.716 21.124 2.137
76 26 3 0.0 5.6819999999999995 19.705 2.024
77 26 1 0.0 6.9879999999999995 20.14 1.722
78 26 2 0.0 7.146 21.124 2.137
79 27 3 0.0 10.112 19.705 2.024
80 27 1 0.0 11.418 20.14 1.722
81 27 2 0.0 11.575999999999999 21.124 2.137
82 28 3 0.0 14.542 19.705 2.024
83 28 1 0.0 15.847999999999999 20.14 1.722
84 28 2 0.0 16.006 21.124 2.137
85 29 3 0.0 18.971999999999998 19.705 2.024
86 29 1 0.0 20.278 20.14 1.722
87 29 2 0.0 20.436 21.124 2.137
88 30 3 0.0 23.401999999999997 19.705 2.024
89 30 1 0.0 24.708 20.14 1.722
90 30 2 0.0 24.866 21.124 2.137
91 31 3 0.0 1.252 24.134999999999998 2.024
92 31 1 0.0 2.558 24.57 1.722
93 31 2 0.0 2.716 25.554 2.137
94 32 3 0.0 5.6819999999999995 24.134999999999998 2.024
95 32 1 0.0 6.9879999999999995 24.57 1.722
96 32 2 0.0 7.146 25.554 2.137
97 33 3 0.0 10.112 24.134999999999998 2.024
98 33 1 0.0 11.418 24.57 1.722
99 33 2 0.0 11.575999999999999 25.554 2.137
100 34 3 0.0 14.542 24.134999999999998 2.024
101 34 1 0.0 15.847999999999999 24.57 1.722
102 34 2 0.0 16.006 25.554 2.137
103 35 3 0.0 18.971999999999998 24.134999999999998 2.024
104 35 1 0.0 20.278 24.57 1.722
105 35 2 0.0 20.436 25.554 2.137
106 36 3 0.0 23.401999999999997 24.134999999999998 2.024
107 36 1 0.0 24.708 24.57 1.722
108 36 2 0.0 24.866 25.554 2.137
109 37 3 0.0 1.252 1.985 6.454
110 37 1 0.0 2.558 2.42 6.151999999999999
111 37 2 0.0 2.716 3.404 6.567
112 38 3 0.0 5.6819999999999995 1.985 6.454
